feature,nasa_median_spearman,target_tuning_median_spearman,sign_match,selected,rejection_reason,nasa_scaled_sensitivity,target_scaled_sensitivity,source_feature_scale_ratio
voltage_slope_segment_1,0.9684979544126243,0.9928263571371563,True,True,selected,1.3328570280374763,1.5572177807713783,1.1683306971523082
voltage_slope_segment_2,0.9507823613086771,0.5689070069242368,True,True,selected,1.340597674325756,0.7085420622524087,0.528526996444899
voltage_slope_per_second,0.7965291607396869,0.9884995810518522,True,True,selected,0.8816160222700103,1.8150670665320603,2.05879546274417
delta_temperature_skew,-0.8616541353383457,-0.11604627766599596,True,False,weak_target_or_source_health_relation,,,
delta_temperature_kurtosis,0.9624060150375938,0.19207892417960554,True,False,weak_target_or_source_health_relation,,,
temperature_area_normalized,0.7077175697865353,-0.7897758573360563,False,False,opposite_degradation_direction,,,
delta_voltage_current_correlation,-0.8965007112375533,-0.11724395728440631,True,False,weak_target_or_source_health_relation,,,
delta_resistance_proxy_dv_di,0.885096434833431,-0.15159560432042563,False,False,opposite_degradation_direction,,,
delta_current_median,-0.3496785505552309,-0.13164921693613463,True,False,weak_target_or_source_health_relation,,,
delta_passage_time_v3p65_to_v3p60,0.9910578609000585,-0.1875691903395863,False,False,opposite_degradation_direction,,,
delta_passage_time_v3p60_to_v3p55,0.9846288720046757,0.6556938467154506,True,True,selected,0.9938374118238388,1.0858812601463064,1.0926145939239231
delta_passage_time_v3p55_to_v3p50,0.9759398496240601,0.21735418061869927,True,True,selected,0.6352230978439711,0.17919868732707134,0.28210354430639367
delta_passage_time_v3p50_to_v3p45,0.9396259497369961,0.49633276971051316,True,True,selected,1.1860967743520123,0.673618364060317,0.5679286704310682
delta_passage_time_v3p30_to_v3p25,-0.7939118065433856,-0.3001829605901105,True,True,selected,-1.1536118221029807,-0.5437779338656525,0.4713699386977247
delta_passage_time_v3p70_to_v3p65,0.9607681365576102,0.5370579045015135,True,True,selected,1.0706281787820737,0.20111820631333557,0.25
delta_passage_time_v3p35_to_v3p30,-0.7824466571834993,-0.17333878871314007,True,False,weak_target_or_source_health_relation,,,
delta_voltage_skew,-0.6104409672830725,-0.6612704431118753,True,True,selected,-0.963664090306227,-1.2155467958970174,1.26138019266729
delta_passage_time_v3p25_to_v3p20,-0.724812030075188,-0.43066450216720537,True,True,selected,-0.9908011283007528,-0.987882329760476,0.9970541025268282
delta_passage_time_v3p75_to_v3p70,0.9476329631794275,0.6090199988824799,True,True,selected,0.7859717446095278,0.6591295139651823,0.838617314789909
delta_passage_time_v3p40_to_v3p35,-0.7896159317211948,-0.24309360625150098,True,True,selected,-0.3983882888508157,-0.18701650169073475,0.46943272913518486
delta_passage_time_v3p20_to_v3p15,-0.544360902255639,-0.397063844533743,True,True,selected,-0.7207106728781926,-0.7663948082730967,1.0633876215714446
delta_passage_time_v3p15_to_v3p10,-0.5142857142857143,-0.34541190299768343,True,True,selected,-0.734692594169583,-0.795994521542561,1.0834388802329866
voltage_slope_segment_3,-0.4917293233082706,0.6132368558287129,False,False,opposite_degradation_direction,,,
delta_voltage_slope_segment_3,-0.4917293233082706,0.6132368558287129,False,False,opposite_degradation_direction,,,
delta_passage_time_v3p05_to_v3p00,-0.4872180451127819,-0.16666204975533283,True,False,weak_target_or_source_health_relation,,,
delta_passage_time_v3p10_to_v3p05,-0.4812030075187969,-0.3265599732612334,True,True,selected,-0.4858679660122802,-0.7710959147802103,1.5870482697365584
delta_voltage_kurtosis,0.30651340996168586,0.523584062623373,True,True,selected,0.6348420602767643,0.9667314845319092,1.5227905411787857
