unit_id,time,rul_cycles
B0005,0,74
B0005,1,73
B0005,2,72
B0005,3,71
B0005,4,70
B0005,5,69
B0005,6,68
B0005,7,67
B0005,8,66
B0005,9,65
B0005,10,64
B0005,11,63
B0005,12,62
B0005,13,61
B0005,14,60
B0005,15,59
B0005,16,58
B0005,17,57
B0005,18,56
B0005,19,55
B0005,20,54
B0005,21,53
B0005,22,52
B0005,23,51
B0005,24,50
B0005,25,49
B0005,26,48
B0005,27,47
B0005,28,46
B0005,29,45
B0005,30,44
B0005,31,43
B0005,32,42
B0005,33,41
B0005,34,40
B0005,35,39
B0005,36,38
B0005,37,37
B0005,38,36
B0005,39,35
B0005,40,34
B0005,41,33
B0005,42,32
B0005,43,31
B0005,44,30
B0005,45,29
B0005,46,28
B0005,47,27
B0005,48,26
B0005,49,25
B0005,50,24
B0005,51,23
B0005,52,22
B0005,53,21
B0005,54,20
B0005,55,19
B0005,56,18
B0005,57,17
B0005,58,16
B0005,59,15
B0005,60,14
B0005,61,13
B0005,62,12
B0005,63,11
B0005,64,10
B0005,65,9
B0005,66,8
B0005,67,7
B0005,68,6
B0005,69,5
B0005,70,4
B0005,71,3
B0005,72,2
B0005,73,1
B0005,74,0
B0018,0,58
B0018,1,57
B0018,2,56
B0018,3,55
B0018,4,54
B0018,5,53
B0018,6,52
B0018,7,51
B0018,8,50
B0018,9,49
B0018,10,48
B0018,11,47
B0018,12,46
B0018,13,45
B0018,14,44
B0018,15,43
B0018,16,42
B0018,17,41
B0018,18,40
B0018,19,39
B0018,20,38
B0018,21,37
B0018,22,36
B0018,23,35
B0018,24,34
B0018,25,33
B0018,26,32
B0018,27,31
B0018,28,30
B0018,29,29
B0018,30,28
B0018,31,27
B0018,32,26
B0018,33,25
B0018,34,24
B0018,35,23
B0018,36,22
B0018,37,21
B0018,38,20
B0018,39,19
B0018,40,18
B0018,41,17
B0018,42,16
B0018,43,15
B0018,44,14
B0018,45,13
B0018,46,12
B0018,47,11
B0018,48,10
B0018,49,9
B0018,50,8
B0018,51,7
B0018,52,6
B0018,53,5
B0018,54,4
B0018,55,3
B0018,56,2
B0018,57,1
B0018,58,0
B0033,0,27
B0033,1,26
B0033,2,25
B0033,3,24
B0033,4,23
B0033,5,22
B0033,6,21
B0033,7,20
B0033,8,19
B0033,9,18
B0033,10,17
B0033,11,16
B0033,12,15
B0033,13,14
B0033,14,13
B0033,15,12
B0033,16,11
B0033,17,10
B0033,18,9
B0033,19,8
B0033,20,7
B0033,21,6
B0033,22,5
B0033,23,4
B0033,24,3
B0033,25,2
B0033,26,1
B0033,27,0
B0043,0,19
B0043,1,18
B0043,2,17
B0043,3,16
B0043,4,15
B0043,5,14
B0043,6,13
B0043,7,12
B0043,8,11
B0043,9,10
B0043,10,9
B0043,11,8
B0043,12,7
B0043,13,6
B0043,14,5
B0043,15,4
B0043,16,3
B0043,17,2
B0043,18,1
B0043,19,0
B0044,0,19
B0044,1,18
B0044,2,17
B0044,3,16
B0044,4,15
B0044,5,14
B0044,6,13
B0044,7,12
B0044,8,11
B0044,9,10
B0044,10,9
B0044,11,8
B0044,12,7
B0044,13,6
B0044,14,5
B0044,15,4
B0044,16,3
B0044,17,2
B0044,18,1
B0044,19,0
