unit_id,source_group,archive_member,raw_rows,non_numeric_values_coerced,reference_segments,rejected_reference_segments,role,reason,initial_capacity_ah,last_soh,smoothed_last_soh,eol_efc,valid_reference_curves
ALT26_recommissioned_battery02,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery02.csv,2069667,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",20,0,exact_rul_reference,crosses_relative_soh_0p80,2.458770668055555,0.7547729609802977,0.7547729609802977,229.4442853335549,20
ALT26_recommissioned_battery03,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery03.csv,2161444,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 1, ""time"": 0, ""voltage_load"": 0}",22,1,exact_rul_reference,crosses_relative_soh_0p80,2.4912993931944443,0.7418876512656608,0.7418876512656608,201.98500668788813,21
ALT26_recommissioned_battery12,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery12.csv,3041084,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",33,1,exact_rul_reference,crosses_relative_soh_0p80,2.459379038888888,0.7452203149509123,0.7452203149509123,299.0894154025855,32
ALT26_recommissioned_battery24,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery24.csv,3285619,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",33,0,exact_rul_reference,crosses_relative_soh_0p80,2.4615647222222217,0.7126727082355795,0.7094905411056485,296.85519152052893,33
ALT26_recommissioned_battery25,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery25.csv,2169910,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",22,2,exact_rul_reference,crosses_relative_soh_0p80,2.4922325031944434,0.7735934245593868,0.7735934245593868,291.9617088636024,20
ALT26_recommissioned_battery32,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery32.csv,1829938,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",17,0,exact_rul_reference,crosses_relative_soh_0p80,2.448920750833333,0.7727794339701027,0.7727794339701027,244.864659304735,17
ALT26_recommissioned_battery33,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery33.csv,2353426,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",25,1,exact_rul_reference,crosses_relative_soh_0p80,2.458126744444445,0.7396128942261728,0.7396128942261728,237.73997493873998,24
ALT26_recommissioned_battery53,recommissioned_batteries,battery_alt_dataset/recommissioned_batteries/battery53.csv,1139972,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",11,0,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,2.4532359405555564,0.8432594098228081,0.8432594098228081,,11
ALT26_regular_alt_battery00,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery00.csv,1101244,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",9,0,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,2.4525702445833333,0.815239985695389,0.815239985695389,,9
ALT26_regular_alt_battery01,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery01.csv,4918193,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",44,2,exact_rul_reference,crosses_relative_soh_0p80,2.4530213511111127,0.7411907391872119,0.7411907391872119,519.5934260008734,42
