field_name,role,forbidden_token
domain,metadata,
unit_id,metadata,
time,metadata,
source_group,metadata,
reference_index,metadata,
series_cells,metadata,
capacity_ah,label_or_audit_only,capacity
target_soh,label_or_audit_only,soh
true_eol_cycle,label_or_audit_only,eol
true_rul_cycles,label_or_audit_only,rul
source_role,label_or_audit_only,
voltage_slope_segment_1,model_input,
voltage_slope_segment_2,model_input,
voltage_slope_per_second,model_input,
delta_passage_time_v3p60_to_v3p55,model_input,
delta_passage_time_v3p55_to_v3p50,model_input,
delta_passage_time_v3p50_to_v3p45,model_input,
delta_passage_time_v3p30_to_v3p25,model_input,
delta_passage_time_v3p70_to_v3p65,model_input,
delta_voltage_skew,model_input,
delta_passage_time_v3p25_to_v3p20,model_input,
delta_passage_time_v3p75_to_v3p70,model_input,
delta_passage_time_v3p40_to_v3p35,model_input,
delta_passage_time_v3p20_to_v3p15,model_input,
delta_passage_time_v3p15_to_v3p10,model_input,
delta_passage_time_v3p10_to_v3p05,model_input,
delta_voltage_kurtosis,model_input,
