lineage,evaluation_domain,device_macro_rul_mae,point_rul_mae,rul_rmse,rul_bias,worst_device_mae,soh_mae
nasa,decoupled_aging_locked,19.288286209106445,18.648893356323242,22.695966720581055,3.642404794692993,27.113483428955078,0.030658802017569542
nasa,knee_spectrum_locked,14.69922924041748,13.358722686767578,16.59022331237793,4.57678747177124,26.3298282623291,0.03152327239513397
nasa,path_nonstationary_locked,13.027069091796875,12.80624771118164,15.421568870544434,-0.6070384383201599,22.979825973510742,0.052254579961299896
nasa,thermal_load_locked,15.552528381347656,15.061427116394043,17.282127380371094,7.449647903442383,23.642024993896484,0.053018584847450256
nasa,v10_validation,4.830023288726807,5.313053607940674,7.198745250701904,-2.1307199001312256,14.704597473144531,0.013287601061165333
nasa,v15_blind,16.359407424926758,15.862619400024414,19.830263137817383,9.225260734558105,53.05332946777344,0.04179397225379944
nasa,worst_domain,19.288286209106445,,,,53.05332946777344,0.053018584847450256
target_control,decoupled_aging_locked,19.4813175201416,19.36488914489746,23.72909164428711,-0.3000316023826599,24.986663818359375,0.032459136098623276
target_control,knee_spectrum_locked,13.702391624450684,13.048552513122559,16.23645782470703,2.747298240661621,25.450590133666992,0.046873968094587326
target_control,path_nonstationary_locked,14.935928344726562,14.906490325927734,18.201072692871094,-3.7710721492767334,23.698659896850586,0.05118457227945328
target_control,thermal_load_locked,16.182472229003906,15.233586311340332,17.439470291137695,5.014965057373047,25.35289192199707,0.05256648734211922
target_control,v10_validation,4.867069244384766,5.263594150543213,7.205751895904541,-1.3484221696853638,15.237171173095703,0.013810553587973118
target_control,v15_blind,16.54234504699707,16.39016342163086,20.388797760009766,6.263270854949951,44.51777648925781,0.0426279753446579
target_control,worst_domain,19.4813175201416,,,,44.51777648925781,0.05256648734211922
