method,evaluation_domain,dimension,level,samples,devices,device_macro_mae,point_mae,rmse,bias,p90_absolute_error,worst_device_mae
multi_expert,v10,overall,all,22185,320,6.3690595626831055,6.853989124298096,9.34460283569189,-2.3578103395987866,15.199553680419923,24.817289352416992
multi_expert,v10,cycle,7-15,2880,320,10.626871109008789,10.626870155334473,13.847708288515841,-4.274676330222023,22.637873458862305,46.253257751464844
multi_expert,v10,rul,>60,3674,210,9.895912170410156,13.287399291992188,16.11222389442039,-12.406545352987706,25.571943283081062,35.29056167602539
multi_expert,v10,mode,long_no_knee,6269,68,10.035883903503418,10.463773727416992,13.393873903934704,-9.79578837795781,21.922100830078122,24.817289352416992
multi_expert,v10,mode,regular_no_knee,11414,183,4.921753406524658,4.970217704772949,6.506311540078667,0.01784108798224391,10.664626121521001,15.45077133178711
multi_expert,v10,mode,late_knee,4502,69,6.593883514404297,6.603349208831787,8.554041179007775,1.9764852908016681,14.020577239990235,15.898812294006348
multi_expert,v10,lifetime_quartile,Q1,3938,80,5.558207035064697,5.502584934234619,7.37226299185438,4.224373053602303,12.663922500610354,15.45077133178711
multi_expert,v10,lifetime_quartile,Q2,5006,80,4.793804168701172,4.796899318695068,6.2041114143330995,1.7319142027135568,10.004657745361328,13.645236015319824
multi_expert,v10,lifetime_quartile,Q3,5869,80,5.4544477462768555,5.46789026260376,6.9026242091831485,-1.7447408419448365,11.156031036376953,12.416781425476074
multi_expert,v10,lifetime_quartile,Q4,7372,80,9.669778823852539,10.076266288757324,13.026105953526077,-9.139132116996034,21.520291900634774,24.817289352416992
multi_expert,v15,overall,all,18247,320,9.49189567565918,9.827470779418945,13.03341285816,-1.1485249031713423,21.546194458007818,37.03445053100586
multi_expert,v15,cycle,7-15,2880,320,13.730863571166992,13.730864524841309,17.525524701081217,0.20364263521300421,28.52556114196777,58.76179885864258
multi_expert,v15,rul,>60,1711,126,15.637758255004883,18.09335708618164,21.093975921843285,-15.075762638914732,32.40631675720215,41.88077926635742
multi_expert,v15,mode,long_no_knee,3828,48,12.913567543029785,13.073441505432129,16.25308854992932,-11.491984105498657,27.833384704589843,23.881929397583008
multi_expert,v15,mode,regular_no_knee,9671,205,8.622762680053711,8.516860961914062,11.185638772349959,3.1298120976104546,17.292022705078125,27.99983024597168
multi_expert,v15,mode,early_knee,2141,32,8.905555725097656,8.814078330993652,12.790746660114543,1.845453283821295,21.03725814819336,37.03445053100586
