method,domain,device_macro_mae,point_mae,rmse,bias,p90_absolute_error,worst_device_mae,soh_mae
multi_expert,v10,6.3690595626831055,6.853988689486948,9.34460283569189,-2.3578103395987866,15.199553680419923,24.817289352416992,0.012445036321878433
multi_expert,v15,9.49189567565918,9.827471586565041,13.03341285816,-1.1485249031713423,21.546194458007818,37.03445053100586,0.01578678749501705
multi_expert,macro,7.930477619171143,8.195924758911133,,,,,
multi_expert_target_only,v10,6.4260993003845215,6.908261558203942,9.424548656639523,-2.348211536273538,15.26849822998048,24.064176559448242,0.012584191747009754
multi_expert_target_only,v15,9.603270530700684,9.819136253510683,13.034412742297942,-0.479837075347439,21.387180328369144,38.7508659362793,0.015704013407230377
multi_expert_target_only,macro,8.014684915542603,8.221941947937012,,,,,
pooled,v10,6.395618915557861,6.927579208760983,9.536134915342066,-2.6535549359281494,15.485510444641115,24.761489868164062,0.013394782319664955
pooled,v15,9.12674617767334,9.526695002844844,12.39772945674518,-2.2111151393991095,20.39206619262696,27.786840438842773,0.01672815904021263
pooled,macro,7.761182546615601,8.10056209564209,,,,,
pooled_target_only,v10,6.339974403381348,6.8918784688218695,9.558934213346797,-2.6761632304364076,15.432501983642586,23.865629196166992,0.013734492473304272
pooled_target_only,v15,9.167035102844238,9.552005795813288,12.379758970845634,-1.914001138512648,20.26640090942383,27.40123748779297,0.017056718468666077
pooled_target_only,macro,7.753504753112793,8.09239673614502,,,,,
pooled_wide_control,v10,6.268915176391602,6.781391195932071,9.260347281232438,-2.394671992232852,15.17195110321045,24.415830612182617,0.012433899566531181
pooled_wide_control,v15,9.841636657714844,10.161732505210328,13.888325825067295,-0.6597630233679098,21.932852172851568,39.148780822753906,0.015704110264778137
pooled_wide_control,macro,8.055275917053223,8.3069429397583,,,,,
v10_only,v10,4.514986991882324,4.771945566314417,6.460271979735596,-0.8673998115814724,10.547820281982423,17.04529571533203,0.011436335742473602
v10_only,v15,28.7988224029541,28.343152496760602,34.42067133894163,9.922110135104708,56.80702940523626,81.43035125732422,0.12742319703102112
v10_only,macro,16.656904697418213,15.409653663635254,,,,,
v15_only,v10,13.432116508483887,14.610629600017813,19.25065596850443,-9.103474258716938,32.351663208007814,40.530826568603516,0.04643230140209198
v15_only,v15,9.975743293762207,10.293256894625918,13.126867469389504,-2.833955796727576,21.638957977294925,27.349021911621094,0.017163410782814026
v15_only,macro,11.703929901123047,12.662195205688477,,,,,
